County name,Population
Merseyside,1353421
Oxfordshire,648722
Greater Manchester,2629388
Kent,1684117
Bedfordshire,614768
West Yorkshire,2249543
Warwickshire,535982
Dorset,715042
Hertfordshire,1107521
Norfolk,862346
Herefordshire,179297
Shropshire,455991
Cambridgeshire,789705
Rutland,38559
Lancashire,1449289
Derbyshire,1010579
Surrey,1127322
West Midlands,2655121
Buckinghamshire,739569
Durham,895340
City of Bristol,441285
Northamptonshire,687319
Berkshire,865201
Hampshire,1743667
Isle of Wight,140491
Somerset,917084
Worcestershire,557426
West Sussex,799701
Lincolnshire,1021667
Cornwall,537445
East Sussex,774284
Devon,1142925
Wiltshire,661592
Northumberland,311991
Staffordshire,1071362
Cheshire,1009288
Gloucestershire,858353
Leicestershire,955379
Tyne and Wear,1119526
South Yorkshire,1328315
The East Riding of Yorkshire,602580
Essex,1737994
Suffolk,719511
Cumbria,494350
North Yorkshire,1081923
Nottinghamshire,1086587
South Glamorgan,466030
Clwyd,490862
Gwynedd,187599
Gwent,561420
Powys,131313
Mid Glamorgan,424572
Dyfed,374741
West Glamorgan,369893
North Lanarkshire,326360
Glasgow City,592820
Dundee City,144290
Angus,110570
West Lothian,172080
Na h-Eileanan an Iar,26190
South Ayrshire,111440
Clackmannanshire,50630
Argyll and Bute,89200
Aberdeen City,217120
Orkney Islands,20110
Aberdeenshire,245780
Scottish Borders,112870
East Lothian,97500
North Ayrshire,135180
Shetland Islands,22400
Moray,87720
Falkirk,153280
Fife,365020
Highland,221630
South Lanarkshire,311880
East Renfrewshire,89540
Renfrewshire,170250
West Dunbartonshire,90570
City of Edinburgh,486120
Perth and Kinross,147780
East Dunbartonshire,104580
East Ayrshire,120240
Inverclyde,79770
Midlothian,81140
Stirling,89850
Dumfries and Galloway,148190
Greater London,7825177
